campus,fall_year,high_school,city,applicants,admits,enrollees,applicant_mean_gpa,admit_mean_gpa,enrollee_mean_gpa
Santa Barbara,1996,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.29,3.44,3.26
Santa Barbara,1997,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.34,3.56,3.40
Santa Barbara,1998,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.39,3.58,3.23
Santa Barbara,1999,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.34,3.61,3.49
Santa Barbara,2000,SANTA MARGARITA CATHOLIC HS,Rancho San Marga,,,,3.44,3.76,3.58
Santa Barbara,2001,SANTA MARGARITA CATHOLIC HS,Rancho San Marga,,,,3.47,3.68,3.38
Santa Barbara,2002,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.44,3.65,3.35
Santa Barbara,2003,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.42,3.67,3.43
Santa Barbara,2004,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.52,3.72,3.58
Santa Barbara,2005,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.51,3.85,3.86
Santa Barbara,2006,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.48,3.76,3.45
Santa Barbara,2007,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.42,3.73,3.59
Santa Barbara,2008,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.53,3.83,3.30
Santa Barbara,2009,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.44,3.81,3.39
Santa Barbara,2010,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.61,3.94,3.63
Santa Barbara,2011,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.67,3.89,
Santa Barbara,2012,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.70,3.98,3.75
Santa Barbara,2013,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.66,3.90,3.73
Santa Barbara,2014,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.66,3.91,
Santa Barbara,2015,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.59,4.19,
Santa Barbara,2016,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.78,4.02,3.78
Santa Barbara,2017,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.80,4.06,3.90
Santa Barbara,2018,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.84,4.15,
Santa Barbara,2019,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.79,4.13,3.82
Santa Barbara,2020,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.83,4.07,3.71
